season,year,amazon_lobby,facebook_lobby,google_lobby,apple_lobby,microsoft_lobby,amazon_link,facebook_link,google_link,apple_link,microsoft_link
2021 2nd Quarter - Report,2021,4860000,4770000,2090000,1640000,2470000,https://lda.senate.gov//filings/public/filing/532894c6-bc65-4e48-b7e9-8c2747fa5426/print/,https://lda.senate.gov//filings/public/filing/20bc0f7b-a3d0-4c00-bc5d-72a405ff16e7/print/,https://lda.senate.gov//filings/public/filing/bf977a89-15c2-41f5-b59d-7e7a6e17b210/print/,https://lda.senate.gov//filings/public/filing/008a3286-d6d5-4601-afe3-f4c4361785fc/print/,https://lda.senate.gov//filings/public/filing/fad755f6-ba3a-480c-a3a1-678bb14c0a5a/print/
2021 1st Quarter - Report,2021,4800000,4790000,2690000,1460000,2590000,https://lda.senate.gov//filings/public/filing/a87a3a40-7aa3-4b09-a90a-1ae233f3f69f/print/,https://lda.senate.gov//filings/public/filing/75504307-e84f-4819-9573-25c28867b498/print/,https://lda.senate.gov//filings/public/filing/047f925e-aa0c-46fa-95aa-f78c29b4f5ee/print/,https://lda.senate.gov//filings/public/filing/931b23da-8021-4f33-8f4b-70e571dba9b8/print/,https://lda.senate.gov//filings/public/filing/d50d3ddf-86ca-40e6-8f35-91d66edc8d92/print/
2020 4th Quarter - Report,2020,4740000,4690000,2110000,1450000,2190000,https://lda.senate.gov//filings/public/filing/57ffc505-528c-4de6-a5fc-9c3c9a01b798/print/,https://lda.senate.gov//filings/public/filing/9caddbc5-946a-4148-8ef3-acc0a97e721f/print/,https://lda.senate.gov//filings/public/filing/65749c45-3697-492e-8430-520cfa2fd6ad/print/,https://lda.senate.gov//filings/public/filing/cad6db2f-c3ca-4b9d-bc24-4c56fc7eaadb/print/,https://lda.senate.gov//filings/public/filing/0906e6e8-20f7-4e95-a649-68381ad16c87/print/
2020 3rd Quarter - Report,2020,4410000,4900000,1930000,1560000,1880000,https://lda.senate.gov//filings/public/filing/1c54ad52-6bd7-4474-aeb4-c2ebaaa907c7/print/,https://lda.senate.gov//filings/public/filing/ddb2d021-2469-4697-a44c-c3aaf959f7d8/print/,https://lda.senate.gov//filings/public/filing/40df1c3a-c0d4-42cd-898a-e4ff6dac3eab/print/,https://lda.senate.gov//filings/public/filing/ca972322-9352-425e-be3f-ba820f6fc1f7/print/,https://lda.senate.gov//filings/public/filing/11832112-0bf4-489a-a552-b64a87401620/print/
2020 2nd Quarter - Report,2020,4380000,4830000,1690000,1480000,2910000,https://lda.senate.gov//filings/public/filing/106caa54-c04c-46db-9da3-8d5965289bb2/print/,https://lda.senate.gov//filings/public/filing/75293ed8-7f43-4c8b-be3e-c4cf9c93ef3e/print/,https://lda.senate.gov//filings/public/filing/5756a20c-4639-49e2-9165-f0667b361579/print/,https://lda.senate.gov//filings/public/filing/eeb911a4-7ef2-4cab-aa6c-d28cb3bebb9e/print/,https://lda.senate.gov//filings/public/filing/7c4170d0-26c2-4834-933a-2634d4c6ddeb/print/
2020 1st Quarter - Report,2020,4330000,5260000,1800000,2160000,2394000,https://lda.senate.gov//filings/public/filing/cf82cd3c-d32f-4109-93a7-c9cac01d35e5/print/,https://lda.senate.gov//filings/public/filing/f2d81986-685c-46d9-88d1-9dcaa19c8605/print/,https://lda.senate.gov//filings/public/filing/c240fbf5-2122-417f-bffd-a23c3bcd6089/print/,https://lda.senate.gov//filings/public/filing/fed6cf52-7b65-4485-a59f-c8fa4ce3dcb0/print/,https://lda.senate.gov//filings/public/filing/3d902e09-369a-46e1-994e-bef8c5eec3e8/print/
2019 4th Quarter - Report,2019,4210000,4430000,2740000,1890000,2390000,https://lda.senate.gov//filings/public/filing/a5dcb1c8-7de1-4714-915b-df78c54ee722/print/,https://lda.senate.gov//filings/public/filing/dae7fc20-eba1-466f-b060-fc3b8d558506/print/,https://lda.senate.gov//filings/public/filing/bff68596-4897-4059-8c4a-0d6f2c2f32c3/print/,https://lda.senate.gov//filings/public/filing/170f74d5-0d12-4912-8d40-5fff4866e3ff/print/,https://lda.senate.gov//filings/public/filing/0c933ba6-4275-4794-b007-778dc23cddae/print/
2019 3rd Quarter - Report,2019,4030000,4770000,2770000,1780000,2250000,https://lda.senate.gov//filings/public/filing/f70c588e-bc9c-4bc1-9bf4-3eb0d7e1b8ed/print/,https://lda.senate.gov//filings/public/filing/3f2a4226-94f6-47d0-9756-48e11ea492ae/print/,https://lda.senate.gov//filings/public/filing/42881a03-713b-4652-aafb-b556c9b55300/print/,https://lda.senate.gov//filings/public/filing/bf01e747-610a-404d-83e1-b194af974855/print/,https://lda.senate.gov//filings/public/filing/71f0c89e-fa75-4d93-a4a2-5b6cfd028e63/print/
2019 2nd Quarter - Report,2019,4010000,4110000,2940000,1810000,2740000,https://lda.senate.gov//filings/public/filing/11501764-f4f1-4ca4-8591-bd883301c395/print/,https://lda.senate.gov//filings/public/filing/00cad027-52b1-46eb-aac9-e871a0f18c49/print/,https://lda.senate.gov//filings/public/filing/65fbb30e-d962-4675-b879-4ce1e3329d85/print/,https://lda.senate.gov//filings/public/filing/61936668-c2b7-4b4e-a0a5-407ef8ed580e/print/,https://lda.senate.gov//filings/public/filing/4e6bfa78-6ae4-4b23-965a-a06df48f3f0d/print/
2019 1st Quarter - Report,2019,3890000,3400000,3360000,1930000,2790000,https://lda.senate.gov//filings/public/filing/4dff7532-6335-4510-b249-1358362f9bde/print/,https://lda.senate.gov//filings/public/filing/af507649-b307-4b02-8d1a-196f05a197c5/print/,https://lda.senate.gov//filings/public/filing/13f92882-f4e7-45b5-9f9f-40ef9d87a993/print/,https://lda.senate.gov//filings/public/filing/da4cfcaa-1beb-46f8-a334-35aee8227bbf/print/,https://lda.senate.gov//filings/public/filing/133afa37-ba04-4d3e-bd00-c15cc4abe5a0/print/
